# features	A001_0_h_CD_1	A005_2XSw_0_h_CD	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	SH_069	SH_209	SH_211	SH_208	SH_210	SH_201	SH_216	SH_204	SH_207	SH_203	SH_215	SH_217	SH_012	SH_044	SH_108	SH_195	SH_252	SH_093	SH_237	SH_503	SH_045	SH_248	SH_064	SH_089	SH_136	SH_232	SH_024	SH_047	SH_087	SH_142	SH_164	SH_199	SH_250	SH_091	SH_123	SH_013	SH_124	SH_227	SH_011	SH_107	SH_200	SH_111	SH_212	SH_053	SH_029	SH_043	SH_077	SH_129	SH_148	SH_245	SH_021	SH_059	SH_104	SH_138	SH_058	SH_125	SH_079	SH_017	SH_050	SH_103	SH_198	SH_234	SH_501	SH_033	SH_071	SH_240	SH_031	SH_063	SH_112	SH_133	SH_002	SH_028	SH_039	SH_095	SH_141	SH_235	SH_022	SH_054	SH_096	SH_153	SH_193	SH_032	SH_060	SH_146	SH_236	SH_034	SH_109	SH_119	SH_154	SH_162	SH_247	SH_042	SH_110	SH_151	SH_238	SH_051	SH_086	SH_015	SH_073	SH_144	SH_084	SH_150	SH_068	SH_085	SH_113	SH_143	SH_242	SH_094	SH_253	SH_016	SH_061	SH_127	SH_166	SH_230	SH_500	SH_082	SH_152	SH_239	SH_014	SH_066	SH_106	SH_118	SH_194	SH_228	SH_007	SH_023	SH_057	SH_102	SH_137	SH_191	SH_055	SH_099	SH_214	SH_243	SH_072	SH_105	SH_241	SH_083	SH_038	SH_114	SH_160	SH_231	SH_205	SH_078	SH_149	SH_117	SH_502	SH_065	SH_100	SH_134	SH_189	SH_179	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A006_2XSw_0_h_C	C2_A304_stool	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	HY_fresh	Coded	CS	BM	BS	NE	C1_A301_Stool_0h	LDC6	LDC7	LDC1	HP	DA_fresh	CU_fresh	CR	S3_309_0h	S5_363_0h
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis	0	0	0	0	0	0	672.029932797007	0	0	114.96803449041	0	0	0	0	0	0	137.003986299601	0.076	80.2720080272008	0	0	0	0	225.818909672436	53.946	32.91	176.197035239407	0	0	0	0	107.60703228211	21.4040064212019	47.8600287160172	22.124013274408	97.2390680673476	128.944077366446	270.296783762573	80.746	51.591	0	0	4.34100173640069	0	0	0	0	0.640999935900006	0	521.571634899856	576.355827093252	293.667146833573	334.078033407803	19.5489960902008	113.891977221605	0	20.3850061155018	8.66199653520139	0.637	0	0	0.458999862300041	295.231881907247	134.274040282212	63.0499873900025	52.6459789416084	135.942904839967	0	0	0	2.05900020590002	71.3449571930257	75.217	0	0	0	0	0	0	0	0	33.695010108503	57.3190229276092	36.41	28.2910282910283	16.0939967812006	0	0	0	13.9899986010001	61.059036635422	0	0	0	0	221.158110579055	58.9410117882024	49.0410245205123	99.719960112016	268.277134138567	85.7530257259077	579.682652190409	36.7829963217004	78.9780157956032	0	40.4469757318146	62.52602501041	0	0	58.4129824761053	274.074191851934	145.227101658971	0	0	55.8470055847006	0	42.7670256602154	0	208.931937320419	0	0	0	0	654.395392637236	72.2599927740007	165.379049613715	226.06693217992	230.788046157609	517.452793018883	0	0	28.5879857060071	69.4179722328111	0	0	124.120024824005	26.0719869640065	0	52.3100366170256	29.9210089763027	0	0	0	4.81500144450043	60.8520121704024	0	227.29506818852	0	56.6039943396006	1.919	67.2249932775007	42.0819915836017	31.6050126420051	107.844021568804	40.8940081788017	0	0	0	2.65299946940011	199.287019928702	80.2239839552032	0	0	475.399047539905	0	33.9899932020014	0	0	113.867011386701	250.034025003402	0	0	0	0	56.8089886382023	105.39703161911	0	0	168.344033668807	0	0	0	159.696936121226	0	0	398.204238922543	5.15199742400129
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340|g__GGB3256|s__GGB3256_SGB4303	0	31.518	0	0	0	0	49.3759950624005	0	0	0	10.2879948560026	1212.277	0	0	0	454.722045472205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.577015757702	0	0	0	0	0	0	0	0	11.635	0	7.12000284800114	41.2130164852066	189.723886165668	133.212013321201	0	0	26.5319973468003	0	0	0	0	1447.57414475741	135.604972879005	0	0	0.745000223500067	17.4719930112028	13.514	0	0	0	308.406876637249	17.5530052659016	15.4649969070006	0	2.95299793290145	758.25784834843	112.26793263924	31.9439968056003	666.098066609807	0	0	0	0	0	0	0.88999973300008	0.361000252700177	20.0760040152008	434.895	0	1.53000061200024	117.078	0	0	388.273922345215	14.799	44.57	1157.96788420321	148.533089119853	0	0	0	0	0	0	0	0	0	0	0	0	0	447.114821154072	335.642798614321	23.2870093148037	0	403.977	392.298882310335	52.0580364406255	0	0	0	25.5920025592002	0	116.447069868242	0	0	0	0	0	0	0	0	0	0	0	15.0039939984024	0	8.80200352080141	0	0	0	0	31.8240063648013	221.067889466055	0	0	0	0	0	192.997096498548	4.93400148020044	411.646082329217	0	0	0	9.7369990263001	74.178	0	0	0	0	0	0	0	0	1.29599974080005	57.4980057498006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805.916838816632	1.79200035840007	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0	0	0	0	0	5.41500324900195	5.42099945790005	0	0	0	8.68599565700217	0	0	0	0	0	2.03299979670002	0	0	0	0	0	0	0.041999983200007	0	0	1.89300037860008	1.31700026340005	0	11.7859976428005	0	0	0	0.203000121800073	0.070000042000025	0.375000262500184	0.351000210600126	0	0	0	0	28.9590115836046	1.53300061320025	0	0	0	0	4.77899952210005	0	14.9479895364073	28.6679913996026	2.20700110350055	21.4840021484002	1.06599978680004	34.2379931524014	0.474000189600076	0	0	0	0	0	0	12.447995020802	2.09800062940019	7.4729985054003	2.5259989896004	0.833999416200409	0	0	0	0	1.62299902620058	5.563	0	0	20.178	138.387958483612	9.68499709450087	5.04000352800247	3.13800062760012	7.864	0	0	0	0	0	0	0	0	1.87099981290002	3.47300208380125	0	0	0	0	6.98800349400175	0	1.78800089400045	3.17999872800051	0	0	0	13.8539986146001	6.73400134680027	0	0.127999923200046	31.7040126816051	0	4.736	29.6589911023027	5.12200358540251	2.13400149380105	0	0	0	0	0	0	0	0	0	0	1.5990019188023	0	0	0	0	0	0	0	0	0	32.2249871100052	3.3700010110003	25.1060075318023	0	0	0	0.871000609700427	10.692003207601	3.52100105630032	4.165	19.6010098005049	0	0	0	0.210000063000019	0	11.2469988753001	0	0	0	0.569000227600091	4.76600095320019	0.701000140200028	0	0	168.948016894802	19.1179961764008	21.5860021586002	0	0	0.593999881200024	0	0.391999843200063	5.75699884860023	1.44800086880052	169.687067874827	51.7530051753005	0	0.119999964000011	0	11.2789988721001	4.45100044510005	1.63399967320007	0	0	0.118999916700058	0	6.09299878140024	0	0.926000185200037	3.49799860080056	30.5119847440076	0	4.54100272460164	40.14397992801
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	38.2649846940061	0	58.6260234504094	0	0	44.559026735416	19.7909980209002	51.8760051876005	0	0	0	0	0	395.196	0	25.2270025227003	0	215.241	91.7290091729009	27.659	66.4030265612106	27.1880054376011	153.914030782806	41.1649835340066	0	0	0	16.1420032284006	0.82	15.3949969210006	0	335.93010077903	724.627217388165	156.272093763256	429.861257916755	17.5640122948086	188.445113067068	1640.44068764745	50.715	135.436	5.72400286200143	92.9770371908149	0	0	0	0	49.635980145608	92.3199907680009	0	0	0	0	0	0	0	13.1540052616021	10.807003242101	11.7039953184019	30.761	99.188009918801	86.6050346420139	62.0829813751056	0	4.93900148170045	0	0	0	11.2569977486005	3.90499765700141	19.7249980275002	29.4640029464003	14.0669915598051	75.322	123.664975267005	78.4340078434008	85.513	176.298947110316	0	0.744000520800365	16.3250032650007	0.029	165.548049664415	6.94700277880111	4.52	60.3360603360603	0	1.22599975480005	0	0	41.1719958828004	0	0	0	0	0	4.66100233050117	719.705143941029	2.4150012075006	781.100687559725	27.7230138615069	0	0	7.50999924900008	9.63100192620039	22.4209910316036	65.5539606676236	597.822239128896	0	0	20.8729937381019	26.2810183967129	0	322.649935470013	293.322058664412	53.4350053435005	181.814036362807	67.1080402648242	0	82.9159751252075	18.5270129689091	46.4340325038228	36.2800108840033	51.6470619764744	0	0	0	0	0	0	69.8290139658028	92.7550371020148	137.118931440534	73.9049704380118	50.1200150360045	6.46900194070058	0	0	0	0	0	0	0	103.666051833026	0	1012.26020245204	0	0	177.321982267802	156.948984305102	708.725	0	0	0	0	0	0	0	36.0190036019004	31.3639937272013	0.99800009980001	124.280975143805	10.881	65.2509869498026	0	107.114957154017	237.63395247321	0.2780001668001	23.2670093068037	0	16.3720016372002	0	0	0	8.51600085160009	109.616978076604	0	43.1069784465108	0	0	24.222995155401	19.3429961314008	46.3300092660019	7.39999704000118	9.5949952025024	27.6420082926025	27.87401672441	98.3109508445246
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500000050000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695	0.446999910600018	0	0	3.40700102210031	0	2.10800126480076	0.491000343700241	2.775001665001	0.212999829600136	0	0	0	2.06800082720033	0	0	0	0	3.7659984936006	0.774999922500008	0	0	0	0	0	0	0	0	0	0	0	0.297000029700003	0	0	0	0	0	0	0	1.17299976540005	0	0	0.396000039600004	0	0	0.273999945200011	0	0	0	0	0	0	0	0.929000278700084	3.93900157560063	0	0	0	0	0	0	0	9.85100591060355	0	0	0.715999713600115	0.173999947800016	0.072000036000018	0.969000193800039	0	0	0	0	0.08299995020003	1.36899986310001	0.766000153200031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686000411600247	0	0	0.266999919900024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.222	0	0	0	0	0	0	0	0	0.521999947800005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329000032900003	0	0	0	0	2.32800023280002	0	0	0	0	0	0	0	0.699000139800028	0	0	1.02500030750009	0	1.38799930600035
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	18.2839926864029	8.647	162.602065040826	0	0	0	84.7719915228009	0	48.9119853264044	0.10900003270001	0	0	89.6660089666009	0	0	12.0770012077001	4.49299955070005	70.425	20.8860020886002	46.28	14.1970056788023	9.12600182520037	0	10.4639958144017	0	0	0	28.3310056662011	10.546	67.3339865332027	13.7040013704001	43.5580130674039	61.3980184194055	22.6430135858082	13.3160079896048	0.14300010010007	5.97800358680215	18.1989854408117	131.448	262.738	33.6960168480084	83.4020333608133	47.0330188132075	192.905884256469	48.2830048283005	10.2319959072016	13.2029947188021	87.0779912922009	0	4.09999713000201	32.0499903850029	14.5550072775036	0	32.0589935882013	0	0	0	0	0	73.4070073407007	5.6460022584009	1.51799954460014	0	0.184000055200017	15.0099969980006	39.6339841464063	25.4989821507125	14.2089971582006	0	24.1739975826002	10.7460010746001	22.354986587008	83.412	25.069994986001	6.79600067960007	126.859	178.715946385216	18.2879945136016	1.90300133210093	48.2050096410019	14.31	102.586030775809	0	0	0	0	0	0	0	0	0	0	0	0	0	110.199055099528	13.8860027772006	17.8160089080045	40.6169837532065	7.30100365050182	0	0	0	0	75.9379696248122	0	0	30.0870090261027	9.679	0.230999930700021	20.6050144235101	151.783106248174	63.8879872224026	16.0310032062006	0	0	0	0	0	0	0	0	0	3.11100186660112	31.4859968514003	78.7620236286071	7.03999788800063	0	12.395995041602	3.21000064200013	88.6490354596142	0	13.9419944232022	24.5610073683022	0.046000013800004	27.6050055210011	146.906926546537	0	33.2420232694163	0	0	0	0	54.9070164721049	17.2480034496007	0	0	0	0	0	2.18399978160002	0	0	0	0	0	0	0	3.56099928780014	0	0	1.044	105.875978824804	171.674017167402	19.7759920896032	304.602939079412	52.4190314514189	26.4130105652042	200.892020089202	43.1490043149004	25.2279924316023	0	3.22299967770003	0	73.5039852992029	70.1390210417063	181.112909443545	1.00599929580049	0	0	0	0	0	0	12.5990037797011	92.0930552558331	163.543918228041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus	713.877714448914	202.14	865.539346215738	12.0209975958005	883.067	720.89343253606	283.660971633903	0	2235.7803292659	12.4080037224011	3281.02535948732	1257.944	0	1803.307	0	498.066049806605	0	268.485	121.512012151201	122.756	593.623237449295	134.632026926405	0	289.834884066046	1215.995	1431.692	704.735140947028	66.8930133786027	10.369	92.2549815490037	2844.47828444783	1089.8573269572	1330.03639901092	455.308273184964	415.51124930675	78.6310550417385	136.158081694849	10.2589917928066	0	0	923.272461636231	1335.19353407741	990.128396051358	33.6009798394121	140.365014036501	136.240945503622	310.84887566045	789.580921041908	0.062000031000016	118.682916921958	282.937915118625	14.3780071890036	32.9760032976003	128.415974316805	2368.32652633469	256.063102425241	122.256036676811	3.79599848160061	16.11	500.115050011505	163.332065332826	43.2159870352039	42.8829828468069	97.8260293478088	294.561941087612	550.721779711288	97.0759320468476	55.9939888012022	5.17799689320186	186.395981360402	72.8680072868008	80.575951654429	350.193	396.082920783416	14.9090014909001	1032.696	1094.9086715274	297.163910850827	70.2300491610344	160.449032089806	33.944	1006.61030198309	14.3540057416023	100.16	485.530485530486	0.346999930600014	0.618999876200025	1678.446	2024.05	272.921972707803	0	0	0	0	0	482.971241485621	462.352092470419	1437.39671869836	1508.69839652064	202.565101282551	1578.97647369294	194.42988334207	932.387906761209	1794.59235891847	485.534805786078	363.403781957731	581.300232520093	1448.29943448983	1096.686	268.936919318924	711.104497773148	552.528386769871	354.792929041414	226.475045295009	2024.85620248562	1890.86337817268	1041.75562505338	603.717939628206	1179.31364620591	125.585087909562	139.376097563268	163.232048969615	156.462187754625	97.7110586266352	866.873913312609	535.612160683648	885.443734366879	66.4570132914026	240.936903625239	907.916181583236	56.6510226604091	395.485802257099	221.410911435635	97.5430292629088	72.3980217194065	0	0	571.942885611423	0	103.627031088109	271.562081468624	264.652	0	846.860254058076	1771.77335435467	217.693	133.701040110312	1665.96883340312	335.807966419203	408.115	143.654985634501	637.131872573626	189.87207594883	1589.17831783566	416.535083307017	179.132089566045	1207.38587926141	22.3170022317002	212.186957562608	78.7740078774008	355.098928980214	1.65	229.971954005609	67.0200067020007	0	678.354864329027	25.5810153486092	205.576082230433	40.8060040806004	27.9720027972003	22.8969931309021	13.3089986691001	3.70599962940004	313.358031335803	647.967870406426	28.9840086952026	129.287935356032	21.7529847729107	1757.25635145127	86.0979827804034	0	267.726053545211	605.248757900497	42.8459785770107	343.916103174831	59.6620357972215	428.460785769607
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	23.2149907140037	8.985	3.82900153160061	0	0	0	8.22999917700008	0	0	1.64800049440015	1.84099907950046	6.638	0	0	0	0	0	2.342	6.40100064010007	2.487	1.00600040240016	0.659000131800026	0	56.329977468009	0	6.533	2.25400045080009	4.70000094000019	43.873	16.9559966088007	12.4010012401001	0.846000253800076	7.46800224040067	6.47600388560233	4.33200259920156	2.26000158200111	2.62700157620095	13.7309890152088	58.852	7.167	65.6790328395164	34.0860136344055	43.0510172204069	25.3519847888091	31.8250031825003	11.8159952736019	181.626927349229	40.6209959379004	0	10.6099925730052	12.0509963847011	11.871005935503	79.5200079520008	10.5219978956004	8.58299828340034	3.18800127520051	2.33600070080021	2.42899902840039	0.34	6.51600065160007	3.43800137520055	0.038999988300004	0	6.14600184380055	16.7399966520007	39.3099842760063	42.6569701401209	30.9749938050012	18.2019890788066	15.8889984111002	19.6850019685002	3.56499786100128	13.188	11.6309976738005	10.1170010117001	217.867	134.130959760712	152.631954210414	21.3330149331105	15.1330030266006	256.157	10.3690031107009	15.3410061364025	4.962	7.07000707000707	2.09799958040008	30.8709938258012	0	0	6.38299936170006	370.237222142333	579.114115822823	42.1769789115106	44.4659822136071	14.7679955696013	41.3670206835104	41.0570082114017	19.0360095180048	8.63199654720138	35.865017932509	0	0	0.614999938500006	1.07500021500004	50.7699796920081	15.4019907588055	5.81900232760093	17.6110052833016	34.834	78.9569763129071	17.8100124670087	0	24.386995122601	5.93900118780024	41.4040041404004	0.701000140200028	8.23700494220297	1.32499986750001	33.329990001003	12.5540087878062	0	9.81300294390088	10.1240121488146	95.9050575430345	9.30399906960009	38.6990116097035	79.6509761047072	94.1270188254038	147.163941134424	21.7990043598009	4.3610017444007	4.73799763100119	10.8879956448017	15.4840046452014	50.0090150027045	0	0	0	0	17.0840051252015	16.4500049350015	6.508	0	70.4880211464063	27.5930055186011	0	0	32.9839967016003	23.1729976827002	78.415	9.24599907540009	18.1709963658007	67.5370270148108	22.2150044430009	24.792004958401	11.1060055530028	54.9689945031006	3.02100030210003	6.93099861380028	7.22400072240007	15.2029969594006	10.503	15.8049968390006	39.8110039811004	12.763994894402	13.7199972560006	25.2460151476091	10.2050040820016	33.6950033695003	14.5970014597002	15.5729953281014	97.282990271701	35.6219964378004	1.67600016760002	101.324979735004	40.7340122202037	37.8119810940094	3.92399725320192	101.320020264004	86.5079826984035	0	4.00300080060016	6.14699754120098	16.8059915970042	12.8150038445012	12.6740076044046	4.83699758150121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_SGB4421	0	0	0	0	0	0	5.95599940440006	0	0	24.3340073002022	0	0	0	0	0	0	39.2929960707004	0	0	0	38.8410155364062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.661	21.582	0	8.7720035088014	0	0	0	0	0	0	0	27.8509805043136	24.3629926911022	18.4250092125046	63.1200063120006	2.09199958160008	0	0	3.81300114390034	3.57499857000057	0.286	40.0360040036004	5.91400236560095	0	112.405955037618	21.4070064221019	0	22.0319911872035	2.42799830040119	0	0	0	5.48500054850006	0	0	0	0	0	0	0	0	0	0	0	0	2.442	13.2250132250132	0	0	0	0	199.197980080202	0	0	0	0	0	0.042000021000011	0	0	0	0	0	0	0	0	0	23.2869860278084	14.1420056568023	0	0	0	0	0	0	0	0	0	0	0	0	0	46.968032877623	10.817003245101	1.35800162960196	98.5880591528355	11.0869988913001	0	0	0	0	0	2.27100090840036	0	0	0	206.224061867219	14.0500028100006	14.2139928930036	0	67.6780473746332	0	0	0	0	0	0	0	0	0	0	0	43.3779956622004	0	0	0	0	0	0	0	358.092928381414	0	0	0	0	2.02200020220002	3.7499985000006	0	0	0	0	0	92.4969722509083	0	66.8139933186007	0	0	0	0	43.3629696459212	0	33.0279933944013	0	0	0	0	0	0	41.6789791605104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179	0.161999935200026	0	0	0	0	0	1.94999980500002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306000122400049	0	0	0	0	0	0.602000120400024	0	0	0	0	0.085000025500008	0	0	0	0	0	0	0	0	0.663000331500166	0	0	0	0	0	12.8949948420021	0.876999912300009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14399977120005	0.329999802000119	0	0.390000039000004	0	0	0	0	1.555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317999904600029	0	0	2.38500071550021	0	1.84100110460066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053999994600001	0	0	0.688000068800007	2.00099959980008	0	0	0.141000014100001	0	0	0	0	0	0	0	0	3.09299969070003	0	0	0	0	0.058999958700029	0	0	0	0	0.378999848400061	0.808999595500202	0.030000009000003	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_wenyonii	0	0	0	0	0	10.3790062274037	1.89299981070002	0.554000055400006	14.2039957388013	0	2.68699865650067	7.302	8.66500086650009	9.469	2.75800027580003	4.76400047640005	0	0.509	2.04300020430002	1.408	0.247000098800039	0	1.73200034640007	0	1.183	36.209	0	0.226000045200009	4.859	0	0.0330000033	10.4200031260009	11.8300035490011	1.60700096420058	0	0	3.55800213480128	0.622999501600399	0	1.794	0.132000066000033	5.67300226920091	0.087000034800014	2.63899841660095	0.691000069100007	0.131999947200021	1.19899952040019	3.99499960050004	46.2020231010116	0	3.67499889750033	1.46600073300037	0	4.88399902320019	1.35599972880005	10.4020041608017	5.65000169500051	0	0	1.80700018070002	1.93800077520031	0.508999847300046	0	1.32600039780012	1.32499973500005	1.94799922080031	0.253999822200125	1.79399964120007	0	0	0	0.343999793600124	0.212	0	0	10.316	0.622999813100056	44.641986607404	1.20500084350059	0.215000043000009	0	17.8530053559016	5.56800222720089	0	0	0	0	34.961	16.849	0.192999980700002	22.9790137874083	0	1.70999914500043	2.61599895360042	0.174999947500016	0.115000057500029	52.6170105234021	0	4.74399810240076	0	2.57400077220023	1.96799881920071	0.676999932300007	11.2170022434004	42.1609831356068	6.01299639220216	5.18700207480083	4.25700127710038	0.118	0.007999997600001	1.07000074900052	0.049000034300024	8.10799837840032	2.5310005062001	3.14900031490003	27.8750055750011	3.64300218580131	1.45499985450001	1.76999946900016	0.93900065730046	0	2.34200070260021	0.096000115200138	7.96900478140287	3.80399961960004	0	0	0	0	4.57400091480018	1.35000054000022	3.2019983990008	0.942999622800151	0	0	2.79100055820011	6.62599668700166	0	0	3.3080009924003	0	0	0.931000465500233	7.02100210630063	0	0	0.861000258300077	40.4159959584004	3.76499962350004	3.01	0	0	13.1410052564021	0.845000169000034	0.169000033800007	0	0	0	0	0	0	0	0	0	0	0	0	0.06200002480001	0	0.087000008700001	0	0	0	0	0	1.1620003486001	0	0	0	0	0	0	1.74699930120028	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_SGB5076	0	0	0	0	0	0	23.7839976216002	0	0	0	0	0	0	0	0	0	0	15.946	18.1210018121002	0	2.21700088680035	4.73500094700019	0	0	0	0	0.762000152400031	0	0	0	0	0	0	0	0	14.5210101647071	5.18300310980187	0	0	0	0.354000177000088	0	0	0	0	7.91399683440127	0	0	0	4.24399702920208	9.37199718840084	12.9520064760032	23.2580023258002	2.35599952880009	47.0969905806019	0	0	0	0	0	1.08800043520017	0	23.1259907496037	2.42600072780022	10.7459978508004	101.973959210416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18400035520011	36.55	19.0239942928017	0.045000031500022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.27099636450182	63.9049744380102	0	0	0	0	0	0	0	0	0	0	0	0	0	50.5950151785046	0	0	7.746	0	0	0	0.440000088000018	65.7760131552026	0	0	0	0	0	57.9509884098023	0	0	0.859000085900009	0	0	0	0	0	1.49400014940002	0	0	0	0	22.5049954990009	0	13.5669932165034	0	0	0	0	0	0	0	0	0	1.06399946800027
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes	0	5.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.604	0	0	0	0	0	2.1730006519002	0	0.350000210000126	0	0	0	1.54699876240099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61499827700035	25.7900025790003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579999768000093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19300293510205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944000283200085	0	0	0	0	0	0	0.027999988800005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062000006200001	0	0	0	0	0	0	0	0	0.386999961300004	0	0	0	0	0	0	2.86199942760011	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	1.2689994924002	6.568	0	0	34.267	0	0	0	0	0	0	0	0	1.687	0	43.7910043791004	0	60.456	36.7970036797004	35.913	51.9840207936083	33.0940066188013	0	16.3509934596026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54000077000039	3.7560015024006	0	0	0	0	38.4119846352061	84.3139915686009	0	0	0	0	0	0	0	0	16.3600049080015	14.8139940744024	7.798	0	61.8150247260099	0	0	16.6670050001015	0.74399985120003	4.32199827120069	0.511999641600251	0	0	0	0	21.9329868402079	147.94	0	0	0	58.3979824806053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264000132000066	53.1590106318021	102.352051176026	119.401952239219	11.3010056505028	38.6190115857035	4.55899726460164	0	0	0	0.450999729400162	1.30300052120021	6.71900201570061	27.456	1.25299962410011	18.7160131012092	33.1350231945162	0	0.352000070400014	0	0	0	0	0	0	0	0	0	0	0	4.05300121590036	37.4519887644034	3.80900076180015	14.2079943168023	0	3.31600132640053	0	38.9889844044062	0.879000263700079	0	0	0	0	0	101.411030423309	53.3590160077048	141.478	0	0	0	7.709	285.209085562726	0	33.1339966866003	36.226	0	0	0	0	0	0	0	0	0.147999970400006	0	0	0	0	1.16000011600001	0	22.7279954544009	0	13.0340052136021	9.7840009784001	0.617000061700006	0	0	0	0	0	0.22600006780002	0	0	0	0	7.86399842720032	0	14.2659942936023	3.53599823200088	2.88500086550026	0	0
