# Gene Family	A001_0_h_CD_1	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	BM	BS	C1_A301_Stool_0h	C2_A304_stool	CR	CS	CU_fresh	Coded	DA_fresh	HP	HY_fresh	LDC1	LDC6	LDC7	NE	S3_309_0h	S5_363_0h	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_025	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_062	SH_063	SH_064	SH_065	SH_066	SH_068	SH_069	SH_070	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_080	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_090	SH_091	SH_093	SH_094	SH_095	SH_096	SH_097	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_122	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_136	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_181	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_201	SH_203	SH_204	SH_205	SH_206	SH_207	SH_208	SH_209	SH_210	SH_211	SH_212	SH_214	SH_215	SH_216	SH_217	SH_227	SH_228	SH_230	SH_231	SH_232	SH_234	SH_235	SH_236	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_248	SH_250	SH_251	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
1.1.1.1	0.00125849	0.000974475	0.00128879	0.00185893	0.000754369	0.00147536	0.00299474	0.00133055	0.00190679	0.000422916	0.000732725	0.000509159	0.000892001	0.000519473	0.000727867	0.000924481	0.000384274	0.000978362	0.000846117	0.000462865	0.00121854	0.00106139	0.000601626	0.00109863	0.000903115	0.00117016	0.00086811	0.000712622	0.00108376	0.00251725	0.00196087	0.00107108	0.000367259	0.000609634	0.000463624	0.00165971	0.000676644	0.000346855	0.000335558	0.000638813	0.00106624	0.000757965	0.000822882	0.000378646	0.00218781	0.0005224	0.000517313	0.000374174	0.00257635	0.000789827	0.000880202	0.000567445	0.00078586	0.000735443	0.00154283	0.000894063	0.000851861	0.000934131	0.00105032	0.000391768	0.0011094	0.000406975	0.000895699	0.000452627	0.00288866	0.000610094	0.000451694	0.000465024	0.00063887	0.000330237	0.000410205	0.00223679	0.000146467	0.000259885	0.000584839	0.000547013	0.000104404	0.000899924	5.83613e-05	0.000519252	0.000347083	0.00105778	0.000669016	0.000390198	0.000448806	0.000594908	0	0.000992425	0.00106849	0.000298885	0.000551699	0.000945873	0.000572466	0.00210187	0.000447335	0.000367	0.000668278	0.00124952	0.000643699	0.000977972	0.000552362	0.000528103	0.000464578	0.000742678	0.00054417	0.000474356	0.000540734	0.000311014	0.000217313	0.000508986	0.0011695	0.000249347	0.0012052	0.000828521	0.00077151	0.000676669	0.000683495	0.000386963	0.000318107	0	0.000154223	0.000427288	0.000772696	0.00125932	0.000918723	0.000844402	0.00154441	0.000893112	0.000845689	0.000810396	0.000537663	0.00132405	0.00060012	0.000689515	0.00040161	0.00108936	0.00144734	0.000701732	0.000708711	0.00101933	0.000487346	0.000413145	0.000813093	0.000233822	0.000452311	0.000776972	0.000658755	0	0.00121698	0.000947642	0.000844893	0.000600479	0.000350716	0.000767737	0.000367336	0.000259867	0.00176052	0.000620117	0.00114814	0.000831244	0.000504564	0.0012089	0.000715007	0.000947492	0.00182319	0.000496947	0.000651323	0.000723632	0.00114162	0.00200276	0.000904265	0.00059016	0.000424327	0.00113182	0.000950182	0.00121094	0.00102613	0.00109355	0.000687362	0.000879711	0.000810182	0.00136762	0.000629015	0.000866256	0.000276181	0.000378332	0.000289546	0.000946906	0.000863021	0.000757892	0	0.000397609	0.00116576	0.00119858	0.000469741	0.000548638	0.000541397
1.1.1.100	0.0031743	0.00199181	0.00310744	0.00249097	0.0015567	0.00278451	0.00252425	0.00239919	0.001552	0.00100576	0.00168489	0.00195721	0.0018446	0.00148854	0.0022334	0.00157407	0.000946192	0.00179926	0.00227505	0.00109501	0.0024457	0.00240716	0.00205044	0.00214973	0.00169059	0.00259683	0.00245798	0.00247343	0.00187554	0.00173624	0.00227125	0.0018195	0.000773785	0.00142933	0.00203866	0.00256473	0.00124023	0.00184715	0.00219614	0.00252527	0.00223069	0.00193784	0.00203573	0.00125545	0.00232888	0.00214642	0.00127449	0.0013467	0.00307638	0.00224147	0.00186192	0.00248291	0.00151488	0.00126648	0.00266053	0.00214989	0.00205085	0.00242164	0.00100948	0.00200167	0.00334323	0.001186	0.00236843	0.00216903	0.0033278	0.00119385	0.00139139	0.0014979	0.00207044	0.00100711	0.00195295	0.00227019	0.00133046	0.00233496	0.000864797	0.00208291	0.000924911	0.00163995	0.000998295	0.00179002	0.00101789	0.00232908	0.00192817	0.00133526	0.00223449	0.000981305	0	0.0017364	0.00196252	0.00219079	0.00202867	0.00182571	0.00169001	0.00234694	0.00240305	0.0024131	0.00198875	0.00275157	0.00146775	0.00233355	0.00215111	0.00190426	0.00158655	0.00151555	0.00210675	0.00156668	0.00246348	0.00136263	0.00108743	0.00227658	0.00233079	0.00228073	0.00229102	0.00221554	0.00215737	0.00213058	0.00153142	0.00163113	0.00205968	0.000931479	0.00255481	0.00215809	0.00246249	0.00276714	0.00199705	0.00250067	0.00252099	0.00181469	0.00161894	0.00220099	0.00176512	0.00184282	0.00163586	0.00218335	0.00232916	0.000806628	0.00261792	0.00221759	0.00193693	0.00165249	0.00213047	0.00189116	0.00118652	0.00130958	0.00123355	0.00228949	0.00156092	0.00663587	0.00222211	0.00158782	0.00299877	0.00194965	0.00194342	0.00240947	0.00125517	0.00140762	0.00233583	0.0030393	0.00251487	0.00191357	0.00213817	0.0024177	0.00209383	0.00208157	0.00226835	0.00216134	0.00210129	0.00240839	0.00255675	0.00247049	0.00177408	0.00270535	0.00110327	0.00234545	0.00206488	0.00157987	0.00258565	0.0020583	0.00134702	0.00252657	0.00231213	0.0017032	0.00126357	0.00221051	0.00146279	0.00143641	0.00157119	0.00227084	0.00240833	0.00199439	0	0.00148318	0.00197366	0.00149363	0.00174678	0.00247495	0.00224797
1.1.1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64348e-06	0	0	0	1.13541e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76732e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	0.000491521	0.000125245	0.000155775	0.000870935	9.14465e-05	0.000983931	0.00153021	0.000818487	0.000184498	9.46872e-05	0.00023634	0.000238434	0.000312855	6.53675e-05	0.000206779	0.000427929	7.559e-05	6.38271e-05	0.000395137	2.77254e-05	0.000292751	0.000395982	0.000263919	0.000108465	0.000179688	0.000245406	0.000168965	0.000257701	4.70251e-05	0.000492594	0.00090708	0.000192297	4.09235e-05	0.000129143	0.000378411	0.00155022	0.00109265	7.2379e-05	0.00048324	0.000602673	0.000297586	0.000528948	0.000456982	0	0.00157454	0.000442617	0.000175123	0.000220345	0.00184743	0.000472874	0.000144987	0.000598296	0.000136635	0.00017086	0.000927142	0.000993031	0.000149436	0.000679213	0.000228055	0.000369606	0.00131234	0.000401614	0.000206866	0.00047387	0.00298785	0.000222224	0.000204938	0.000596353	0.0003205	0.000381695	0.000264135	0.00100476	0.000422457	0.000639603	0.000106078	0.000518341	0.000325358	0.000934712	0.000283893	0.0012138	1.57559e-05	0.00106637	0.00051914	0.000616486	0.000302755	0.00065156	0	0.000292629	0.00049363	0.000291108	0.000437519	0.000618391	0.000209608	9.59001e-05	0.00214466	0.000385264	0.000402214	0.0011548	0.000100546	0.000200388	0	0.000272395	0.000855364	0.000378385	0.000287068	0.000256598	0.000851348	0.000135117	6.21019e-05	0.000443072	0.000342513	0.000905062	0.000216982	0.000581233	0.000423795	0.000448985	0.000739321	0.000626008	0.000806824	0	0.00103581	0.000519332	0.00102591	0.000370698	8.21442e-05	0.000199202	0.00114004	9.51057e-05	0.000102248	0.000145815	0.000331339	0.00139859	0.000466749	0.000130028	0.000641641	9.01848e-05	0.000583395	0.00112338	0.000789703	0.000308504	0.00045213	0.000656199	0.00108921	0.000545366	0.00064014	0.000916881	0.000221215	0	0.00038081	7.07046e-05	1.53288e-05	8.16009e-05	0.00027181	0.000285977	0.000464	0.000180815	0.00119466	0.00146466	5.10576e-05	0.000212647	0.000253908	0.000279453	0.00104164	0.000138779	0.0009431	0.00131348	0.000389548	0.000371208	0.000320278	0.00135089	0.000198422	0.000420615	8.53484e-05	0.000304423	0.00106147	0.000249023	0.00021596	0.000183245	0.000215456	0.00027055	0.0001592	0.000793045	0.0001921	0.00103553	0.00042439	0.000310777	0.000775833	0.000340332	0.000284501	0.000790882	0	0.000282378	0.00091226	0.000176628	2.70004e-05	0.000993024	0.000452139
1.1.1.105	1.15842e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76432e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	6.76798e-06	0	0	0	0	0	0	0	0	0	0	0	6.77125e-07	0	1.75424e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99036e-05	0	0	0	0.000321972	0	0	2.70992e-06	0	0	3.00839e-06	0	0	2.72091e-06	0	9.94834e-07	9.85626e-05	0	2.90748e-06	3.86876e-06	0.000305228	0	0	0	5.3844e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49291e-05	0	0	0	0	0	6.33412e-07	0	9.69817e-07	0	0	3.97871e-06	2.17321e-05	0	0	0	0	1.60551e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.16836e-06	2.57691e-06	0	0	0	0	3.61556e-06	0	0	0	0	0	0	0	0	0	3.47994e-06	5.2748e-06	0	0	0	0	3.12616e-05	0	4.22801e-07	0	0	0	0	0	0	0	0	0	0	0	0	7.18096e-07	0	0	0.000132929	0	7.35388e-07	1.74421e-05	0	1.81779e-06	0	0	0	0	0	0	0	0.000174467	1.38334e-06	0	0	8.29684e-07	0	0	0	0	0	0	0	0	0	0	0	2.87615e-06	0	1.17725e-06	0	0	0	0	0	0	0	5.01511e-05	0
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87263e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89423e-05	0	0	0	0	0	0	0	0	0	0	1.95189e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60918e-07	3.37806e-05	0	3.09785e-06	1.03889e-05	0	0	0	0	0	0	9.44284e-07	0	0	1.40423e-06	0	0	0	0	1.44458e-06	0	0	0	8.32775e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	1.69763e-06	1.08669e-07	0	0	0	0	0	0	0	0	6.34443e-05	0	0	0	0	0	0	0	4.68851e-07	3.41085e-06	0	0	0	0	0	1.37521e-05	0	0	1.10819e-06	0	0	0	0	0	0	0	0	0	0	3.64151e-05	0	0	0	0	0	0	0	0	0	6.00186e-06	0	0	0	0	1.62074e-06	0	0	2.15722e-06	0	6.35349e-07	0	0	0	3.48237e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57933e-06	0	0	0	0	0	0	0	9.41161e-05	0	0	0	0.000129949	0	0	0	0	0	0	2.27613e-06	0	0	0	4.59254e-05	0	0	1.42418e-06	0	0	4.59502e-06	0	0	0	0	0	0	0	0	0	0	0	0	5.71619e-05	0	0	0	0	0	0	0	0	0	7.57689e-06	0	0	1.0493e-05	0	0	0	0	0	0	0	0	3.87749e-06	0	0	0	0	5.36147e-05	0	0	0	1.90274e-06	0	0	0	0	0	0	0	2.48691e-05	0
1.1.1.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23921e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09982e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03273e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	8.5595e-06	0	0	0.000210747	0	6.45882e-06	0.000238981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12741e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122	0.000159902	1.14047e-05	4.19135e-05	1.45088e-05	4.28996e-05	0.000178667	4.52003e-06	0.000672769	6.2221e-05	6.77543e-05	6.29567e-05	0.00014838	0.000260675	9.55897e-06	0.000122924	8.3118e-05	1.06448e-05	2.51393e-05	0.000271159	2.27344e-05	1.0982e-05	0.000175584	0.000178412	0.000103542	2.33479e-05	1.95913e-06	0.000148461	9.37018e-05	7.99277e-06	4.73818e-05	0.000305128	3.31742e-05	2.9003e-05	9.4027e-05	0.00016366	0.000166353	0.000210712	0	0.000321329	0.000381297	3.26195e-05	0.000258638	0.000469026	8.2585e-06	6.0783e-05	0.000365957	9.19384e-05	0.00043794	5.7363e-05	0.0003705	4.5605e-05	8.43067e-05	0	0	0.000161997	0.000232246	0.000103808	0.000191801	8.53963e-05	0.000181888	0.000399958	0.000454717	0.000143634	0.000768733	0.000222701	1.89197e-05	0.000104292	0.00019435	0.000140709	0.000130177	0.000437193	0.000390665	0.000851601	0.000370045	3.87637e-05	0.000303626	0.000276762	0.00029344	0.000218756	0.000374552	5.96921e-05	0.000126647	0.000461456	0.000198009	0.000153322	2.19788e-05	0	0.000132924	0.000381922	0.000104452	0.000304595	0.000226656	0.000134322	3.82843e-06	6.82134e-05	0.000338165	0.000415834	0.000185159	2.52677e-05	6.55444e-05	0.000588545	9.4211e-05	0.00049447	0.000212075	0.000155148	7.87492e-05	0.000200754	0.000169072	3.43764e-05	0.000315443	5.03243e-05	0.000293542	0.000103428	0.00021125	6.27166e-05	0.000279007	0.000269427	0.00034146	0.000212038	0.000982341	0.000518825	0.000353706	0.000225322	0.00022612	1.04542e-05	0.000139801	0.000165948	3.44619e-05	7.64897e-05	3.64233e-05	6.95804e-05	0.000153665	0.000215559	0.0001155	0.000571639	5.3741e-05	0.000341953	0.000143085	0.000296761	0.000169414	0.000536476	0.000224954	0.00014059	0.000228198	2.58739e-05	0.00031681	0.000249258	0	8.00173e-05	2.42541e-05	0	2.1486e-05	0.000259356	0.000379391	7.63091e-05	8.84035e-05	0.000329976	0.000405254	1.99015e-06	0.000320057	6.92268e-05	0.000378525	0.000835672	7.42249e-05	3.54924e-05	0.000441902	0.000265425	8.39426e-05	0.000194297	0.000156139	4.87577e-05	0.000285566	9.69067e-05	0.000311584	5.83774e-05	0.000586419	9.10902e-05	1.44148e-05	8.65863e-05	7.14321e-05	4.62032e-05	0.000103978	3.53275e-05	0.00019411	0.000235356	7.80129e-05	0.000642875	0.00011906	0.000289959	0.000158941	0	0.000171019	0.000120283	7.36916e-05	1.57346e-05	0.000408513	0.000353983
1.1.1.125	4.49118e-05	0	2.54556e-06	1.70345e-05	6.3795e-06	5.14109e-06	3.56571e-05	3.03086e-05	2.70111e-05	8.82293e-06	4.65849e-06	0	0	1.66498e-05	4.08943e-06	1.39574e-05	4.56166e-06	1.15097e-05	0	0	0	3.62838e-06	3.53185e-06	7.85891e-06	9.91327e-06	2.06429e-06	3.76324e-05	1.12816e-05	4.58479e-06	0	2.2081e-05	6.50742e-06	3.19703e-06	1.14272e-05	3.95314e-06	2.0261e-05	2.07281e-05	0	3.31256e-06	6.94623e-05	2.49527e-05	0	1.15255e-05	0	3.07358e-05	0	0	1.02566e-06	0	5.1186e-06	6.67322e-07	0	0	0	1.07915e-05	1.16344e-05	0	9.60384e-06	0	5.99162e-07	0	5.1536e-06	2.79058e-06	0	1.85734e-05	4.664e-06	2.44297e-06	0	2.72473e-05	0	1.21678e-05	2.64995e-05	0	0	0	0	0	3.92088e-06	1.41156e-06	1.43949e-05	8.44228e-06	1.71267e-05	4.14446e-06	0	9.72676e-07	0	0	1.12913e-05	6.101e-06	9.21284e-06	2.9519e-06	1.52371e-06	4.15382e-06	2.10159e-06	0	7.76135e-06	2.73953e-05	2.47532e-05	0	0	0	0	0	0	6.41489e-05	0	0	5.71779e-06	3.2585e-06	1.96505e-06	4.69217e-05	0	0	7.31815e-06	0	5.82147e-06	7.25827e-06	0	2.68644e-06	0	2.51264e-06	1.18969e-05	3.98497e-05	1.12811e-05	1.13235e-06	2.96641e-06	2.6601e-05	5.64186e-06	2.17266e-05	3.77979e-06	0	2.15453e-05	6.29816e-06	1.72327e-06	5.6845e-06	0	8.44938e-06	5.91546e-06	8.32777e-06	7.33861e-06	5.16949e-06	4.39638e-06	0	0	1.58161e-06	9.22732e-06	0	0	1.22222e-06	6.65398e-06	0	0	0	0	0	4.28326e-06	2.93066e-06	4.53318e-06	9.89925e-06	0	3.41609e-05	7.02198e-05	0.000102686	4.7887e-06	0	4.66013e-06	0	0	1.12441e-05	2.32222e-05	2.09347e-06	3.78461e-06	6.00665e-06	9.42733e-06	5.28803e-06	0	0	2.42573e-06	2.97836e-05	5.42927e-06	0	1.83304e-05	0	4.16417e-06	1.43591e-06	3.47823e-07	1.33657e-06	3.50062e-05	9.47819e-07	1.3009e-05	0	0	2.284e-05	8.01299e-06	3.88342e-06	0	8.89803e-06
1.1.1.127	0.000385176	3.13042e-05	0.000207945	0.000576313	6.11561e-05	0.00061854	0.00084475	0.000162134	0.000109119	2.29503e-05	3.37102e-05	8.03631e-05	1.1381e-05	3.52511e-05	8.64964e-05	0.000267091	9.80211e-06	8.75969e-06	2.98884e-05	0.000164165	4.83063e-05	0.000117169	3.73236e-05	2.30748e-05	9.59663e-05	0.000146188	1.46543e-05	3.42957e-05	3.55754e-05	2.38046e-05	0.00039089	0.000117059	2.29641e-05	5.39688e-05	4.31915e-05	0.00079976	0.000110763	0	3.60055e-05	1.17167e-05	0.000127438	3.91474e-05	6.28751e-05	2.85057e-05	0.000960005	4.70271e-05	7.59707e-06	3.98249e-05	0.00123107	2.73509e-06	2.23884e-05	3.29627e-05	2.09711e-05	3.17232e-05	0.00035763	0.000340234	1.56567e-05	0.000335089	5.38001e-05	2.35479e-05	0.000384278	0.000177215	2.67676e-05	8.35805e-05	0.00116887	5.05848e-06	1.38248e-05	6.52549e-06	4.91695e-05	3.93799e-05	1.30595e-05	0.000722706	0	3.7918e-06	1.80343e-05	1.11058e-05	8.68626e-06	0.000207169	3.62958e-05	0.000176974	1.47487e-05	0.000291222	0.000103864	5.35602e-06	4.4049e-05	5.67494e-05	0	2.69318e-05	9.17175e-05	4.55342e-06	3.55287e-05	0.000166793	8.17175e-05	6.70126e-05	0.000112785	2.25422e-06	4.89237e-05	0.000341569	3.22034e-05	1.48261e-05	0	3.41997e-05	9.2416e-05	9.77057e-06	6.57994e-05	1.43477e-05	5.82338e-05	5.69488e-05	3.76213e-06	0.00011665	1.77701e-05	3.58113e-05	3.55691e-05	0.000202159	0.000163255	0.000169309	0.000334175	0.000119065	7.04531e-05	0	9.93348e-06	3.1391e-05	0.000256606	0.000126534	1.12396e-05	0.000103133	0.000672207	1.62563e-05	2.80607e-05	7.76227e-06	0.000101081	0.000737306	0.000200658	4.77281e-05	3.41867e-05	7.36585e-06	0.000252211	0.000341653	0.000253209	1.18812e-05	3.93659e-05	0.000111615	0.000113098	3.62111e-05	5.3945e-05	0.000565871	4.63503e-05	0	8.2146e-05	3.70707e-05	4.47019e-05	2.79714e-05	2.24555e-05	6.60587e-05	6.68219e-06	6.55983e-06	0.000828176	0.00014617	0.000218207	7.8334e-06	0.00013739	0.000124365	0.000278233	2.64197e-05	0.000657046	0.000122307	6.25531e-05	0.000112501	0.000112178	0.00109382	2.20142e-05	4.61609e-06	1.80988e-05	8.17505e-05	0.000163935	8.3788e-05	0.000136622	2.87135e-05	1.36246e-05	6.9449e-05	7.41667e-05	0.000399494	4.77902e-05	0.0002126	5.56127e-05	4.50038e-05	1.31449e-05	0.000141763	7.00668e-05	0.000274747	0	7.16058e-05	6.83415e-05	6.8149e-06	1.56022e-05	0.000362249	0.000201397
